uri,id,birth_place,birth_date,language,recording_dates,subject_refs,interviewers,programs
/repositories/14/resources/8407,HVT-3632,,,heb,1994-01-18|,/subjects/25264|/subjects/36885|/subjects/25470|/subjects/31833|/subjects/34631|/subjects/29496|/subjects/37410|/subjects/37286|/subjects/22606|/subjects/23300|/subjects/31831|/subjects/25435|/subjects/40600|/subjects/32985|/subjects/24341|/subjects/34577|/subjects/41070|/subjects/24980|/subjects/31129|/subjects/24543|/subjects/23059|/subjects/30490|/subjects/38250|/subjects/23017|,,/agents/corporate_entities/12966|/agents/corporate_entities/6680|
/repositories/14/resources/10169,HVT-2920,,,eng,1994-05-10|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/39971|/subjects/24374|/subjects/28387|/subjects/23624|/subjects/31104|/subjects/23869|/subjects/27209|/subjects/25317|/subjects/24932|/subjects/24980|/subjects/35324|/subjects/33303|/subjects/31129|/subjects/35714|/subjects/23059|/subjects/30490|/subjects/36018|/subjects/34716|/subjects/35943|/subjects/35139|,/agents/people/40466|,/agents/corporate_entities/6633|
/repositories/14/resources/7012,HVT-3798,,,heb,1995-09-14|1995-09-21|1995-11-09|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/39082|/subjects/37286|/subjects/25818|/subjects/31831|/subjects/23300|/subjects/38016|/subjects/22405|/subjects/34072|/subjects/40600|/subjects/39199|/subjects/23646|/subjects/38014|/subjects/26497|/subjects/28862|/subjects/23706|/subjects/41532|/subjects/33470|/subjects/39866|/subjects/37967|/subjects/31273|/subjects/38724|/subjects/24980|/subjects/24543|/subjects/23017|/subjects/30490|/subjects/38250|/subjects/35139|,,/agents/corporate_entities/12966|/agents/corporate_entities/6680|
/repositories/14/resources/9896,HVT-3262,,,rus,1994-08-01|,/subjects/25264|/subjects/36885|/subjects/25470|/subjects/31833|/subjects/34631|/subjects/28584|/subjects/26387|/subjects/37775|/subjects/25435|/subjects/24374|/subjects/28672|/subjects/29540|/subjects/32653|/subjects/34577|/subjects/24980|/subjects/30490|/subjects/31129|/subjects/36018|/subjects/23017|/subjects/35139|,/agents/people/40759|,/agents/corporate_entities/12966|/agents/corporate_entities/6680|
/repositories/14/resources/6912,HVT-2023,,,eng,1992-02-10|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/37286|/subjects/25818|/subjects/39082|/subjects/23300|/subjects/37410|/subjects/39199|/subjects/31078|/subjects/40600|/subjects/25299|/subjects/38014|/subjects/25317|/subjects/33470|/subjects/24980|/subjects/32086|/subjects/31129|/subjects/24543|/subjects/30490|/subjects/23059|/subjects/35139|,,/agents/corporate_entities/6633|
/repositories/14/resources/5942,HVT-2189,,,srp,1991-04-16|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/31831|/subjects/38492|/subjects/36478|/subjects/41390|/subjects/39298|/subjects/32199|/subjects/40973|/subjects/22446|/subjects/37108|/subjects/41438|/subjects/24325|/subjects/31687|/subjects/33146|/subjects/38909|/subjects/28413|/subjects/24980|/subjects/36018|/subjects/33303|/subjects/23017|/subjects/35139|/subjects/41132|,/agents/people/81600|,/agents/corporate_entities/6694|
/repositories/14/resources/6645,HVT-2473,,,eng,1994-04-24|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/36478|/subjects/41390|/subjects/26804|/subjects/33741|/subjects/22405|/subjects/25637|/subjects/41041|/subjects/24980|/subjects/24675|/subjects/31129|/subjects/35139|,/agents/people/82183|/agents/people/40656|,/agents/corporate_entities/6622|
/repositories/14/resources/6708,HVT-2166,,,fre,1992-02-11|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/24806|/subjects/27257|/subjects/39082|/subjects/26684|/subjects/31037|/subjects/23328|/subjects/34072|/subjects/25248|/subjects/40600|/subjects/23093|/subjects/22646|/subjects/27530|/subjects/28037|/subjects/22746|/subjects/31794|/subjects/24980|/subjects/32086|/subjects/30490|/subjects/35943|/subjects/35139|/subjects/35324|,/agents/people/76652|/agents/people/78212|,/agents/corporate_entities/6714|
/repositories/14/resources/9582,HVT-8091,,,eng,1985|1985-05-03|,,,
/repositories/14/resources/8195,HVT-2536,,,eng,1992-12-14|,/subjects/25264|/subjects/36885|/subjects/25470|/subjects/31833|/subjects/34631|/subjects/37286|/subjects/29006|/subjects/26817|/subjects/39082|/subjects/40600|/subjects/38014|/subjects/39866|/subjects/24980|/subjects/23636|/subjects/33303|/subjects/35139|/subjects/35324|/subjects/35943|,/agents/people/40547|/agents/people/57611|,/agents/corporate_entities/6633|
/repositories/14/resources/6230,HVT-3777,,,heb,1995-04-23|1995-05-02|1995-06-08|1995-06-10|1995-06-15|1995-08-24|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/24806|/subjects/37286|/subjects/26159|/subjects/23328|/subjects/39082|/subjects/29111|/subjects/24343|/subjects/32911|/subjects/22339|/subjects/25299|/subjects/24370|/subjects/31538|/subjects/33801|/subjects/31223|/subjects/24980|/subjects/32086|/subjects/24543|/subjects/29712|/subjects/23059|/subjects/30490|/subjects/33303|/subjects/40065|/subjects/35139|/subjects/35324|,,/agents/corporate_entities/12966|/agents/corporate_entities/6680|
/repositories/14/resources/8980,HVT-0858,,,hun,1992-04-24|,/subjects/25264|/subjects/36885|/subjects/25470|/subjects/31833|/subjects/34631|/subjects/39082|/subjects/37286|/subjects/29111|/subjects/26684|/subjects/23982|/subjects/36963|/subjects/32849|/subjects/35242|/subjects/31795|/subjects/41459|/subjects/24980|/subjects/33303|/subjects/35139|,/agents/people/45017|,/agents/corporate_entities/12966|
