uri,title
/subjects/32514,Jews -- Poland -- Stolbt︠s︡y
/subjects/29708,Poltava (Ukraine)
/subjects/26557,"World War, 1939-1945 -- Underground movements -- Denmark"
/subjects/32144,Prachatice (Czech Republic)
/subjects/30179,Jewish refugees -- Yugoslavia
/subjects/37346,Lanaye (Belgium)
/subjects/24090,"World War, 1939-1945 -- Governments in exile"
/subjects/23755,Singen am Hohentwiel (Germany)
/subjects/26804,"World War, 1939-1945 -- Children"
/subjects/28119,Dobra (Poland)
/subjects/39358,Vyshevichi (Ukraine)
/subjects/32847,Spiegelau (Germany)
/subjects/34090,Uherský Brod (Czech Republic)
/subjects/31292,Ulanów (Poland)
/subjects/22144,"Nowy Targ (Województwo Małopolskie, Poland)"
/subjects/30250,"Poole (Dorset, England)"
/subjects/40152,Loudun (France)
/subjects/32797,Brittany (France)
/subjects/33885,Pyrenees
/subjects/30600,Iran
/subjects/31912,Harwich (England)
/subjects/38230,Druzetici (Serbia)
/subjects/40502,Nazi propaganda
/subjects/36384,Pitești (Romania)
/subjects/28660,Livry-Gargan (France)
/subjects/35951,Ampfing (Germany)
/subjects/28230,Qābis (Tunisia)
/subjects/34213,Kaiserslautern (Germany)
/subjects/35814,"Tomashpilʹ (Tomashpilʹsʹkyĭ raĭon, Ukraine)"
/subjects/28725,War crime trials -- Germany -- Württemberg
/subjects/37829,"Nuremberg Trial of Major German War Criminals, Nuremberg, Germany, 1945-1946"
/subjects/33539,Merkinė (Lithuania)
/subjects/33169,Puppets
/subjects/22282,Prisons -- Poland
/subjects/39564,Escape
/subjects/23539,Beremyany (Ukraine)
/subjects/39837,Le Buet (France)
/subjects/40447,"Buky (Cherkasʹka oblastʹ, Ukraine)"
/subjects/35547,Slutsk (Belarus)
/subjects/37080,Jews -- Belarus -- Pruz︠h︡any
/subjects/24356,Kōbe-shi (Japan)
/subjects/40060,Limnos (Greece : Municipality)
/subjects/30698,Šahy (Slovakia)
/subjects/29143,Slavonska Požega (Croatia)
/subjects/39513,Le Coudray-Saint-Germer (France)
/subjects/41671,Křivoklát (Czech Republic)
/subjects/31089,Budzyń (Poland)
/subjects/35863,Tash-Kumyr (Kyrgyzstan)
/subjects/34264,Pułtusk (Poland)
/subjects/31066,Nemšová (Slovakia)
/subjects/31436,Aldenhoven (Germany)
/subjects/35475,Rabbis
/subjects/26259,Fergana Valley
/subjects/38247,Kirgiziya (Kazakhstan)
/subjects/40125,Septeuil (France)
/subjects/35025,Homosexuality
/subjects/29006,Jews -- Poland -- Łódź
/subjects/30227,Schmidmühlen (Germany)
/subjects/36170,Jews -- Germany -- History -- 1945-1990
/subjects/39285,Liepāja (Latvia)
/subjects/22563,Marneffe (Belgium)
/subjects/27761,Várhomok (Hungary)
/subjects/37331,Voorburg (Netherlands)
/subjects/26520,Cyprus
/subjects/36873,Monteuville (Belgium)
/subjects/37761,Veghel (Netherlands)
/subjects/23688,Socialism -- Belgium
/subjects/26170,Kreuzlingen (Switzerland)
/subjects/26465,"Weimer (Thuringia, Germany)"
/subjects/29790,Jews -- Hungary
/subjects/32076,Port-Bou (Spain)
/subjects/35249,Shlisselʹburg (Russia)
/subjects/24008,Piotrków Trybunalski (Poland)
/subjects/36936,"Trzebinia (Województwo Małopolskie, Poland)"
/subjects/40719,Bois-d'Haine (Belgium)
/subjects/26936,"Borken (North Rhine-Westphalia, Germany)"
/subjects/34008,Olympics
/subjects/41108,Enghien-les-Bains (France)
/subjects/40934,"Berlin, Battle of, Berlin, Germany, 1945"
/subjects/37809,Warta (Poland)
/subjects/35834,Jews -- Poland -- Białystok
/subjects/33519,"Drvar, Battle of, Drvar, Bosnia and Herzegovina, 1944"
/subjects/28355,Russia
/subjects/35137,Melle (France)
/subjects/32308,Hong Kong (China)
/subjects/24726,Wałbrzych (Poland)
/subjects/40467,Częstochowa (Poland)
/subjects/23149,Bellinzona (Switzerland)
/subjects/29544,"X. Kerület (Budapest, Hungary)"
/subjects/24376,Kecskemét (Hungary)
/subjects/35588,Chop (Ukraine)
/subjects/25971,"Vilʹshanka (Kirovohradsʹka oblastʹ, Ukraine)"
/subjects/24663,Herentals (Belgium)
/subjects/24399,Orphanages -- Czechoslovakia
/subjects/31461,Myślenice (Poland)
/subjects/25072,Dysart (Scotland)
/subjects/25588,Mestre (Italy)
/subjects/29952,Pacanów (Poland)
/subjects/25422,"Nuremberg War Crime Trials, Nuremberg, Germany, 1946-1949"
/subjects/26127,Płudy (Poland)
/subjects/30509,Osipy-Lepertowizna (Poland)
/subjects/34819,Alken (Belgium)
/subjects/29682,Meudon (France)
/subjects/30159,Baltimore (Md.)
/subjects/28990,Babruĭsk (Belarus)
/subjects/23775,"Montauban (Tarn-et-Garonne, France)"
/subjects/22867,Wittenberg (Germany : Landkreis)
/subjects/26824,Leather workers
/subjects/24819,Gilly (Belgium)
/subjects/27366,Čalma (Serbia)
/subjects/22164,Valtellina (Italy)
/subjects/39682,Escapes -- Germany
/subjects/32888,Byeshankovichy (Belarus)
/subjects/36062,La Spezia (Italy)
/subjects/36598,Jews -- Poland -- Jasionówka
/subjects/28586,Sumy (Ukraine)
/subjects/37673,Lessines (Belgium)
/subjects/38586,Ustica Island (Italy)
/subjects/26598,Bosnia and Herzegovina
/subjects/22888,Starobilʹsʹk (Ukraine)
/subjects/26432,"Rudersberg (Rems-Murr-Kreis, Germany)"
/subjects/38343,Ciężkowice (Poland)
/subjects/31861,Tradate (Italy)
/subjects/30773,Szentes (Hungary)
/subjects/25822,Năsăud (Romania)
/subjects/30323,Snina (Slovakia)
/subjects/29102,Sydney (N.S.W.)
/subjects/35121,Eeklo (Belgium)
